Month,Region,Category,Product,Revenue,Profit
Jul,South,Furniture,C,8664,1956
Jun,South,Furniture,A,5297,2938
Jan,South,Electronics,B,8464,397
Apr,West,Furniture,A,1227,306
Sep,West,Furniture,A,9963,465
May,East,Electronics,B,4810,734
Mar,North,Electronics,D,3429,2515
Feb,North,Clothing,C,7583,2373
Mar,South,Clothing,D,4707,560
Jun,West,Clothing,B,4273,708
Dec,North,Furniture,B,9697,1902
Dec,West,Furniture,E,5895,1557
May,West,Furniture,C,8621,1671
Dec,West,Furniture,E,3548,1753
Jul,North,Clothing,C,2455,685
Dec,North,Clothing,D,3892,186
Feb,West,Electronics,B,6158,611
Feb,South,Clothing,A,1812,1889
Mar,West,Electronics,B,6791,804
Oct,North,Furniture,D,9154,2053
Jun,West,Electronics,B,9819,433
Feb,South,Electronics,A,5547,2575
Oct,East,Furniture,B,9308,2223
Dec,East,Clothing,B,5631,1460
Jun,North,Furniture,A,8098,2644
Jul,South,Clothing,E,5375,1760
May,South,Electronics,C,2992,2991
Feb,North,Electronics,B,2685,764
Dec,South,Furniture,E,6741,255
Oct,East,Furniture,E,7193,772
May,North,Clothing,E,9840,1535
Oct,North,Clothing,E,2564,2058
Aug,North,Electronics,D,1874,1313
Sep,West,Furniture,A,5851,798
Aug,South,Electronics,C,3602,1154
Aug,East,Furniture,C,9230,210
Dec,East,Furniture,D,2654,1683
Mar,East,Clothing,B,5276,185
Aug,West,Furniture,C,9016,2187
May,West,Furniture,E,6687,1156
Jul,East,Electronics,B,8656,158
Sep,North,Furniture,D,3776,1338
Oct,West,Electronics,D,5600,1343
Nov,East,Furniture,D,4699,591
Apr,North,Electronics,B,8205,172
May,West,Furniture,A,9469,1831
Jul,East,Clothing,B,5978,2833
Oct,South,Electronics,B,8617,2445
Apr,West,Clothing,C,3317,194
Aug,North,Furniture,E,2969,1663
Mar,West,Clothing,E,4196,1553
Jan,West,Clothing,B,1008,1545
Sep,South,Clothing,E,4853,2936
Feb,South,Electronics,D,9514,2152
Nov,South,Furniture,C,8645,758
Feb,East,Clothing,D,5462,957
Sep,West,Clothing,E,7884,2803
Mar,West,Electronics,D,1113,2760
Aug,West,Clothing,A,6711,822
Oct,East,Electronics,D,2284,483
May,West,Clothing,E,4674,251
Jun,East,Furniture,D,3224,1984
Oct,South,Clothing,D,9622,1766
Oct,West,Furniture,C,2929,1638
Jun,West,Clothing,B,7205,999
May,North,Furniture,D,9615,2784
Jun,North,Clothing,D,9987,2234
May,West,Clothing,B,7218,226
Feb,North,Furniture,A,7760,1412
Sep,West,Furniture,D,5295,2892
Oct,West,Furniture,B,5342,2759
Sep,East,Clothing,D,7672,1524
Dec,East,Electronics,A,8234,2405
Apr,South,Electronics,A,8189,290
Mar,East,Clothing,E,4777,2214
Sep,East,Electronics,C,6201,334
Feb,East,Electronics,B,6692,1017
Sep,East,Electronics,B,1553,2881
Sep,East,Clothing,A,3910,586
Nov,South,Clothing,C,8898,1008
Jun,East,Electronics,B,8766,2530
Nov,South,Clothing,A,9152,2533
Jun,West,Furniture,A,3914,1871
Jul,West,Clothing,E,3170,271
Dec,North,Clothing,B,6274,2546
Dec,West,Clothing,A,8725,2900
Mar,South,Electronics,C,7015,2609
Jan,North,Electronics,A,8637,560
Dec,South,Clothing,E,5646,1368
Apr,South,Furniture,D,5937,2455
Dec,South,Electronics,E,4834,2918
Oct,South,Furniture,E,4344,796
Dec,South,Electronics,B,9597,2849
Oct,North,Clothing,A,1845,2989
Apr,East,Furniture,B,5095,1561
Jul,North,Furniture,A,4380,278
Jun,South,Clothing,E,6714,645
Jul,West,Clothing,E,9634,2802
Aug,West,Electronics,C,5739,2735
Sep,North,Furniture,B,7524,2995
Sep,West,Furniture,E,7208,1114
Sep,West,Clothing,A,4859,2107
Feb,North,Clothing,C,7373,2724
Oct,North,Electronics,E,5640,2027
Sep,South,Electronics,C,1104,388
Jul,South,Furniture,C,4430,2008
Feb,East,Furniture,E,5321,2875
Feb,West,Clothing,C,4250,263
Apr,West,Electronics,A,1140,1195
Aug,West,Furniture,A,4842,1213
Dec,North,Clothing,D,8228,2878
May,North,Furniture,E,4240,2981
Jul,West,Clothing,D,7646,968
Jun,South,Furniture,B,7037,963
Jun,North,Electronics,A,5321,924
Nov,North,Electronics,C,8755,225
Jul,North,Furniture,C,8921,1955
Mar,East,Furniture,D,6435,2791
Jun,South,Electronics,E,2835,2233
Nov,West,Electronics,E,2674,2426
Nov,West,Furniture,C,5980,2754
Feb,South,Furniture,A,5013,477
Sep,North,Clothing,D,7344,2395
Jun,South,Electronics,B,2229,1738
Sep,East,Electronics,A,8344,535
Aug,East,Electronics,D,6078,1557
Oct,North,Clothing,D,3393,2097
May,East,Clothing,D,7572,846
Mar,West,Furniture,B,6231,2826
Aug,South,Clothing,A,6952,1879
Dec,South,Clothing,A,7083,1697
May,West,Electronics,E,5945,420
Jan,East,Clothing,E,5067,2969
Jan,East,Clothing,D,3355,1568
Aug,South,Electronics,C,6957,938
May,East,Furniture,D,5749,1656
May,North,Clothing,B,8784,702
May,North,Furniture,E,5406,341
Apr,North,Furniture,C,2238,2505
May,North,Clothing,E,5857,395
Aug,West,Electronics,C,3004,2432
Aug,North,Furniture,B,5252,2087
Mar,South,Furniture,D,8100,786
Apr,East,Furniture,E,8959,1879
Jan,South,Furniture,B,1378,2134
Jan,North,Furniture,D,3792,1400
Apr,South,Furniture,C,8662,925
Jun,West,Electronics,A,6257,2589
Feb,West,Electronics,B,2269,2866
Sep,East,Electronics,D,8010,1669
Jan,East,Clothing,C,2300,941
May,North,Clothing,D,9857,2654
Aug,South,Clothing,B,2947,2605
Nov,East,Clothing,D,6150,2812
Jan,North,Furniture,B,8170,1319
Jan,West,Clothing,E,8242,283
Jan,East,Clothing,A,4181,2749
Jan,South,Furniture,A,3383,1460
Sep,East,Clothing,C,5450,584
Oct,South,Furniture,B,7476,716
Apr,South,Electronics,B,3084,1586
Aug,West,Furniture,B,3250,1401
Dec,West,Clothing,C,7081,2424
Aug,North,Electronics,D,2447,1019
Apr,West,Clothing,B,2397,356
Jun,East,Furniture,C,9075,140
Nov,West,Clothing,D,3075,1839
Apr,South,Electronics,E,8938,2147
Oct,West,Furniture,A,7064,2016
Mar,North,Electronics,C,2364,300
Mar,North,Furniture,C,8787,1411
Oct,North,Clothing,B,6129,306
Mar,South,Clothing,A,8919,105
Dec,North,Furniture,D,8546,430
Jun,South,Furniture,C,5389,2849
Aug,North,Furniture,B,5672,671
Jun,East,Clothing,D,1005,1508
Nov,East,Clothing,C,5591,590
Jan,East,Furniture,E,2723,808
May,South,Furniture,C,8325,1987
May,West,Electronics,A,7882,2459
Feb,North,Furniture,A,3025,2681
Jul,South,Clothing,A,1419,569
May,South,Clothing,D,4721,2003
Oct,West,Electronics,A,7186,2590
Jul,South,Electronics,D,3783,2200
Aug,East,Clothing,B,9634,2798
Jan,South,Furniture,B,8007,2011
Sep,East,Electronics,A,8543,1996
Feb,North,Electronics,B,7934,2021
Mar,West,Electronics,C,5986,2041
Jan,North,Furniture,A,4296,777
Jun,South,Electronics,A,2730,111
Nov,West,Furniture,E,3182,1778
Jun,West,Electronics,A,2860,1821
Nov,West,Clothing,A,7354,1726
Jul,North,Clothing,D,8538,1313
Jan,North,Furniture,C,1197,2382
Oct,South,Electronics,A,2215,1930
Apr,South,Clothing,D,3067,434
Dec,South,Furniture,C,9829,2135
May,East,Furniture,B,4221,1885
Nov,South,Clothing,E,8803,426
Dec,East,Clothing,B,6066,1782
Jul,North,Clothing,E,7237,1464
Jun,East,Clothing,A,6031,2609
Oct,West,Electronics,A,6368,1555
Dec,South,Electronics,D,4723,688
Aug,South,Furniture,D,8800,2921
Apr,East,Clothing,D,6208,2045
Sep,South,Clothing,D,6061,1162
Mar,North,Electronics,E,2720,2620
Dec,West,Electronics,E,8907,2238
Apr,East,Electronics,A,8962,450
Sep,South,Furniture,E,8033,2179
Nov,North,Electronics,A,4198,1959
Sep,North,Clothing,D,7162,2622
Sep,North,Clothing,C,5866,2788
Jun,North,Clothing,B,2682,925
Sep,South,Electronics,D,2064,1969
Dec,West,Electronics,D,9099,1903
Jun,South,Clothing,E,9645,1819
Oct,East,Clothing,C,4226,2829
Aug,North,Furniture,C,1964,2770
Jun,East,Furniture,B,8403,207
Apr,East,Electronics,E,5392,1253
Oct,North,Electronics,E,2397,1995
May,North,Clothing,D,3198,441
Sep,North,Electronics,D,4841,870
Sep,South,Furniture,C,8664,1445
Dec,South,Furniture,C,7868,1146
Mar,North,Clothing,C,1454,963
Jan,East,Furniture,D,7936,1925
May,North,Electronics,E,9493,453
Jan,East,Clothing,C,3712,2934
May,North,Clothing,E,4612,395
Mar,South,Furniture,B,5155,646
Oct,South,Clothing,B,1938,2392
Mar,East,Furniture,A,7433,769
Feb,East,Electronics,B,1961,1081
Aug,South,Electronics,D,5666,2290
Dec,South,Clothing,E,9808,1290
Aug,North,Clothing,A,2729,1738
Feb,South,Electronics,A,2956,675
Feb,East,Clothing,C,7746,1755
Apr,South,Clothing,B,4043,2301
